"";"";"";"";"nationalité";""
"51";"empêcher";"-1.03847334670943";"1.26606550830367";"1.00281110730202";"239"
"52";"dépense";"-0.17360302814207";"0.970195397795183";"1.00281110730202";"240"
"53";"français";"-0.469680414619976";"-0.150678312171335";"0.990812478573877";"242"
"54";"grand";"0.0590153241289459";"0.64090576218963";"0.983956119300651";"244"
"55";"soutenir";"-0.656101013260274";"0.85503042790992";"0.971888926979774";"245"
"56";"groupe";"-0.760588851512504";"0.494371552584803";"0.971888926979774";"248"
"57";"extrêmement";"-0.184283696129765";"0.466355895971255";"0.971888926979774";"249"
"58";"penser";"-1.29837534612751";"0.763773342070356";"0.971888926979774";"250"
"59";"différent";"-1.45248510636639";"0.731067640991592";"0.971888926979774";"252"
"60";"présenter";"-1.30177334221747";"-0.0677382084715368";"0.971888926979774";"253"
"61";"raison";"-0.268064756243996";"-0.158336003049418";"0.971888926979774";"256"
"62";"moment";"0.535515222378665";"0.458751159003386";"0.969832019197806";"259"
"63";"dernier";"-0.0324796872520142";"0.501577832458803";"0.969832019197806";"260"
"64";"passer";"-0.26443970822078";"-0.157335249020377";"0.920877613986973";"266"
"65";"accord";"-0.898797057687324";"-0.0389672154446912";"0.917243743572163";"269"
"66";"contrôle";"0.137721151390588";"0.493519232006613";"0.917243743572163";"278"
"67";"protéger";"-0.0429398310262933";"0.199958939857637";"0.917243743572163";"280"
"68";"question";"-0.372028534962683";"1.07197751131465";"0.917243743572163";"281"
"69";"sûr";"-0.443576897391499";"-0.615115193515751";"0.917243743572163";"283"
"70";"temps";"-0.134734937994674";"-0.288713531990081";"0.914912581419266";"285"
"71";"sécurité";"0.373840554776168";"-0.143855131234434";"0.887487144326363";"286"
"72";"prendre";"0.312531727635231";"-0.290081041181478";"0.887487144326363";"287"
"73";"permettre";"0.19078283384267";"0.651032318758212";"0.877819677751114";"290"
"74";"valoir";"-0.356593050903991";"0.691539538333528";"0.868083647583133";"294"
"75";"danger";"-0.33912329672733";"0.578755610082733";"0.868083647583133";"297"
"76";"élection";"-1.25290387526233";"1.14054252080945";"0.868083647583133";"299"
"77";"retourner";"-1.00800031620272";"-0.882425416454311";"0.868083647583133";"302"
"78";"atteindre";"-0.0592981512582134";"0.569518335010391";"0.868083647583133";"305"
"79";"servir";"-0.0418283970815523";"0.456734406759596";"0.868083647583133";"306"
"80";"poser";"0.814037128029152";"0.184262129404751";"0.868083647583133";"310"
"81";"lancer";"-0.40332106467355";"0.176445388629392";"0.868083647583133";"314"
"82";"fameux";"-0.40332106467355";"0.176445388629392";"0.868083647583133";"315"
"83";"présent";"0.814037128029152";"0.184262129404751";"0.868083647583133";"316"
"84";"précédent";"-1.29963188903189";"0.625448371105314";"0.868083647583133";"317"
"85";"cause";"-1.04844561545035";"-0.705894711333234";"0.868083647583133";"320"
"86";"tête";"-0.0822736963291916";"0.633265111880673";"0.868083647583133";"322"
"87";"campagne";"-1.29963188903189";"0.625448371105314";"0.868083647583133";"325"
"88";"maladie";"1.11133202767493";"0.0622409260816142";"0.868083647583133";"326"
"89";"perdre";"0.215021203316586";"0.511243908557536";"0.868083647583133";"332"
"90";"estd";"1.41490964184263";"0.63184457758369";"0.868083647583133";"336"
"91";"essayer";"0.197551449139925";"0.624027836808331";"0.868083647583133";"338"
"92";"trouver";"0.0424644082632426";"0.442669159571209";"0.864449777168324";"339"
"93";"situation";"-0.274480755291247";"0.0360800006227778";"0.863901268426466";"340"
"94";"souhaiter";"0.677805745292207";"0.60068145629704";"0.863901268426466";"342"
"95";"vie";"-0.393348199182105";"0.160221673464219";"0.863901268426466";"344"
"96";"nouveau";"0.0576388764053667";"0.628646474344502";"0.863901268426466";"345"
"97";"homme";"0.183232013196136";"-0.0370250668747722";"0.863901268426466";"346"
"98";"horizon";"-0.0997434505058524";"0.746049040131468";"0.838464175522797";"347"
"99";"européen";"0.244551592500517";"-0.256980619684302";"0.829208090503942";"348"
"100";"moyen";"-0.854795677414717";"-0.251160444644152";"0.8233801851217";"349"
"101";"augmenter";"-0.130166738073845";"0.753209422766279";"0.8233801851217";"350"
