"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"parler";-0,245356015617686;0,671445126581683;0,852829981088352;0,350820561918057;0,430311816888786;0,58042166681674;-0,178778414027404;0,489247816217185;0,62141370803629;0,255625049624387;0,31354627261514;0,422923663800966;0,0431666943522901;0,303101886797238;0,417261861622802;0,0600958173258869;0,0677279853163611;0,108645754585421;0,000400377216910693;0,00299845121717059;0,00483727585415878;0,000818551512257968;0,00123152286772342;0,00224059399446296;0,00665083135391924;0,703686672585036;0,00329332497122717
"milliard";-0,908880961846998;1,53361546719045;1,4148209926389;1,80802012929746;-1,69721742979531;0,00519705413843439;-0,270026282953482;0,455633357358318;0,420339813159329;0,53715830291696;-0,504239095293802;0,00154403191420978;0,0991898530853342;0,264788067779858;0,192302364985686;0,267287440228907;0,176430815314625;1,45860558859265e-06;0,00235457844030762;0,00670397073977893;0,00570561075879825;0,00931763454996144;0,00821058528456342;7,69863326873671e-08;0,00285035629453682;1,71961171225815;0,00842868724257124
"année";-0,830133918978959;0,207685810125856;-0,901416187411937;0,000150078618869598;-0,607212267118301;0,088059708853416;-0,598899801981439;0,149834849191222;-0,650326367591247;0,000108274162840139;-0,438073060531175;0,0635306436577383;0,438589740705212;0,0257387834632672;0,413753095964142;9,76154574357272e-09;0,119698708358775;0,002219661747058;0,0045832363554162;0,00028687294070635;0,00540414061805027;1,49800610824364e-10;0,00245220632909513;5,15739536944787e-05;0,00665083135391924;0,746923178258019;0,0037104604651149
"voter";-0,552290289106726;0,937702776860966;0,754128406772886;-0,597812680666523;0,324136980099753;-0,548177081352823;-0,348189146427378;0,591170867780202;0,475437159461169;-0,376888551383737;0,204350828997957;-0,345595991477602;0,15126117170718;0,408822949023077;0,225637691340711;0,120681774389075;0,0265763937644497;0,0670200197755075;0,00144904780732347;0,00417713300585637;0,00270170856960481;0,00169776722644035;0,000499120103886876;0,00142754447753206;0,00475059382422803;0,846175971115262;0,00340149061326773
"venir";0,10133607195581;0,272597804551897;0,340460031978927;-0,167306296900489;0,0714996775938906;-0,7786219948801;0,110576763140949;0,297455607711165;0,371506094409407;-0,18256271836175;0,0780196307332845;-0,849623418813142;0,021988855039646;0,149187146886351;0,198579840063731;0,0408148169476859;0,00558378762610952;0,583845553436478;9,75676910159922e-05;0,000706029102579709;0,0011013114809985;0,000265951515273676;4,8572008513352e-05;0,0057601160181574;0,00950118764845606;0,407211251488018;0,00157549646877376
"trouver";0,0424644082632426;0,442669159571209;0,262083674885424;0,0510657965995131;-0,172104874394956;0,0215520591983905;0,0776404954199898;0,809361398449279;0,479184973765653;0,0933669844737846;-0,314670762144729;0,0394050599530529;0,00700069986784022;0,713283297310303;0,213353438372019;0,00689398482429332;0,0586575457289997;0,000811033896543306;1,28495912290785e-05;0,00139636093706993;0,000489462132836928;1,85822963112316e-05;0,000211069509195986;3,30991393603988e-06;0,00712589073634204;0,302420591555742;0,000651721241308253
"fois";0,212218766473112;-0,129435611868182;0,0943212308298639;-0,320551182538664;0,223251565083006;-0,691525061370405;0,25338075674969;-0,1545409665251;0,112615793798148;-0,382725347802574;0,26655347897073;-0,825653387178696;0,119041246379163;0,0415192664743795;0,0188138299101541;0,184945366584564;0,0671993633499284;0,568480927301811;0,000278137037037434;0,000103466275085976;5,49427219042215e-05;0,000634579471805307;0,000307808264634752;0,00295329683446245;0,00617577197149644;0,366515262796718;0,00082961268038875
"sécurité";0,373840554776168;-0,143855131234434;0,772309664985084;0,714007141320134;-0,208148258040353;-0,0684868630669075;0,326037231890225;-0,125460248177092;0,673553744014121;0,62270641569439;-0,181532155907702;-0,0597293872211077;0,138683851696463;0,0192537798371967;0,473548440249256;0,344490282731809;0,0219303151065141;0,00209333037876055;0,000929498643959592;0,000137634291189865;0,00396696962508846;0,00339063504512404;0,000288151906201077;3,11953946690902e-05;0,00665083135391924;0,598178055365769;0,00237978042892942
"loi";1,84996721887526;-0,0678935971394267;-0,00979973617678021;-0,437416130311463;0,00540633549464606;-0,0355053119217199;0,972360533503585;-0,0356855265663071;-0,0051508354309336;-0,229910118132426;0,00284162184726143;-0,0186619328657102;0,961977763561294;0,00121480570337585;2,15970352245447e-05;0,0366222776656725;4,19072529663444e-06;0,000159365309137803;0,0195099974018797;2,62776657436434e-05;5,4746695943655e-07;0,00109073370673627;1,66623069723533e-07;7,18647320470474e-06;0,00570071258907363;1,12392809556853;0,0072012220276008
"comprendre";0,548797451136716;-0,540812865996873;0,542017338558938;0,0693793591123785;0,914573880425423;0,717952868873266;0,366341097435038;-0,361011113345945;0,361815140039771;0,0463130987651701;0,610509393486604;0,479258133114296;0,20457507213362;0,186266514562879;0,159655285760657;0,0022264241507619;0,289809335082042;0,157467368310041;0,00171693287814246;0,00166733618638148;0,00167477127961148;2,74403542280914e-05;0,00476833472355202;0,00293846834350605;0,00570071258907363;0,723007397200886;0,00297998876811705
