"";"";"";"";"morrow";""
"70";"continue";"-0.259464187098894";"0.336490142633255";"0.907860155016336";"363"
"71";"assurance";"-1.22938936388921";"0.864110336347084";"0.905352607657129";"365"
"72";"justify";"-1.19971863077934";"1.24360841211312";"0.904903813669544";"366"
"73";"short";"-0.293555731088016";"0.451172285787244";"0.904564249964651";"368"
"74";"concealment";"-1.2625950303601";"1.71545863673459";"0.903887497126229";"369"
"75";"grave";"-0.547344066140486";"1.34321377051079";"0.90243188488078";"370"
"76";"compassion";"-1.20832850549862";"1.26643967777773";"0.901579413761505";"371"
"77";"sincere";"-1.15428586905829";"1.05941001934722";"0.900328014653264";"372"
"78";"aunt_s";"-0.494750459768185";"1.04519399366799";"0.898984007261871";"373"
"79";"composure";"-0.666521935152413";"1.40661898021359";"0.898727553554679";"374"
"80";"agatha";"-1.03720933082193";"1.7417312045557";"0.898487721847028";"375"
"81";"impossible";"-0.814385530989266";"0.834060067340406";"0.897720735296816";"376"
"82";"unhappy";"-1.13735282217706";"0.646661698170103";"0.896528700472648";"379"
"83";"create";"-1.01191738274665";"1.5693343629045";"0.888001614708527";"384"
"84";"decision";"-1.17288066368333";"0.750979487402739";"0.888001614708527";"385"
"85";"felicity";"-0.906155046238528";"0.560305676849574";"0.887799776142682";"386"
"86";"disgrace";"-1.29060024590928";"0.72211076405944";"0.887795026999956";"387"
"87";"endure";"-0.782386399665888";"0.428304300840087";"0.887491081865507";"388"
"88";"consideration";"-1.2498850474836";"0.686257955801074";"0.88547744534978";"390"
"89";"resolve";"-0.458505591682454";"0.458626763290937";"0.88538721163799";"391"
