"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"mother";-0,461669377777499;-0,138507359419934;0,0635272679920425;1,15897548135373;-0,367332938780252;-0,110205090108744;0,0505462548903216;0,922153146889252;0,270830665937569;0,0159953870115515;0,00294271923329603;0,71023122781758;0,00062047414627796;5,58479519732644e-05;1,17484861608545e-05;0,00391029973770032;0,00291112968004528;0,412651282978309;0,000495710309849688
"love";-1,12703625564506;0,0768142686776884;-0,587246948926;0,358610700130596;-0,852063587237771;0,0580732349937548;-0,443971291420376;0,271117382466314;0,832657255056602;0,00253797681255714;0,129725336249781;0,0350794318810552;0,00339530885520442;1,57720197495459e-05;0,000921817715296113;0,000343755772292393;0,00267302802411565;0,574520859260862;0,000882297634019221
"person";-0,599050511799689;-0,724787917025312;-1,05757458417841;0,102483648524326;-0,422207373665792;-0,510826377549747;-0,745372516751915;0,0722298891910677;0,265872693858208;0,255377182620089;0,475512162824381;0,00323796069731314;0,000997939199666404;0,00146082799971332;0,00311027798000387;2,92069597338513e-05;0,00278084764189511;0,540415286293434;0,000812142887711714
"family";-0,497445165643396;-0,889781656008967;-0,882306294868476;-0,00263152060013605;-0,368970756402806;-0,659979095839321;-0,6544343848945;-0,00195188176181375;0,20388809569174;0,428037372778881;0,368072157256902;2,37427246583205e-06;0,000681455419732236;0,00218028826186621;0,00214380745191812;1,90704336597593e-08;0,00275389273745025;0,512448621576906;0,000723182118657607
"begin";0,265554455740494;-0,315515104403841;0,505546275132076;-0,0286067398849934;0,406642002909329;-0,483146455385797;0,774140088554764;-0,0438053354107816;0,249323709653292;0,230945793983994;0,518526545684013;0,0012039506787035;0,000196103064720913;0,000276832774042483;0,000710720798717164;2,27569433982366e-06;0,00278084764189511;0,247384709098729;0,00017018563514353
"happy";-0,404657694491509;0,0106545920361489;-0,129728279727037;-0,0162367150730979;-0,95126867540924;0,0250467982969884;-0,304965037113973;-0,0381692444029559;0,943305141682589;0,000429105024579868;0,0556337948757168;0,000631958417108806;0,000441380764201687;3,05992968696643e-07;4,53635584811891e-05;7,10614615932947e-07;0,00269549044448637;0,193804006737705;0,000101242602300839
"catherine";0,74394075233226;0,203994506578962;-0,00619623971155862;0,090334714467164;0,957824533240814;0,262643150593824;-0,00797766541349676;0,116306043792732;0,947407171731488;0,0467423202833873;3,77145700487005e-05;0,00581279341506787;0,00148435430541466;0,000111608641528942;1,02971561579235e-07;2,18861932523107e-05;0,00268201299226394;0,355525753128108;0,000339002583173729
"manner";-1,05352802070525;0,174242898449458;-0,373519796861288;0,455275358537418;-0,863932312682731;0,142885682456944;-0,306300179580548;0,373342792672371;0,85631858496624;0,0153697468565285;0,0617679528353962;0,0665437153418299;0,00300674114359732;8,22458572963385e-05;0,000377947178739411;0,000561503087284918;0,00270896789670881;0,529577415314098;0,000759736111498463
"crawford";-0,205999070705666;0,582584036807306;1,09550251621145;-3,27174364416319;-0,0587699333384532;0,166206696418221;0,312538350922202;-0,933403025602534;0,00784672232805635;0,0411801834044576;0,1273436493784;0,823629444889087;0,000108474919125759;0,000867592868663998;0,00306778960421925;0,0273625990961417;0,00255622343818791;1,08173820492841;0,00299118414034966
"mind";-0,822674571091513;0,74668263747477;0,229300045820068;-0,742009360586787;-0,606898681925084;0,550838356287756;0,169157891180376;-0,547390813743898;0,519848452265676;0,28099983668826;0,0231751024175315;0,17597660862853;0,00179084495540417;0,00147527827386002;0,000139126584664039;0,00145686935818515;0,00264607311967079;0,530750907342025;0,000745389604412256
"jane";-0,364748373952276;-0,596732336087565;-0,216914512398671;0,480962416215378;-0,416343721359144;-0,681142889740584;-0,24759807516149;0,548996778330248;0,271538726115922;0,476889263788375;0,0551080489877497;0,196463961107941;0,000330520504121219;0,000884648656098929;0,000116893105142554;0,000574690421726952;0,00248434369300161;0,325595598883806;0,000263371470879336
"return";0,431036989254464;-0,450216319819965;0,922782687176486;-0,0278102044498103;0,386959566570625;-0,404177637473491;0,828419828391773;-0,0249663600303825;0,230010308227901;0,164654664941367;0,604936605896449;0,00039842093428262;0,000484109517512693;0,000528149663003924;0,00221877577516259;2,01522203425674e-06;0,0026056407630035;0,418063199596529;0,000455405655754399
"moment";0,67451212178664;0,808291798970209;0,223526158759015;0,00919424676877655;0,626714472446967;0,751014180490978;0,207686525030405;0,00854271899217802;0,498664863527032;0,469871332521351;0,0314252492692205;3,8554682383659e-05;0,00118547952511535;0,00170235795539793;0,000130188088253704;2,2026568871664e-07;0,0026056407630035;0,444310343951431;0,000514383925040652
"letter";-0,186883640808151;0,195578675284952;0,824021114743072;0,439292616151611;-0,192228332535586;0,201172036605064;0,847587323193175;0,45185596092227;0,0659007359108993;0,0473591659733147;0,735219712769437;0,151520385346346;8,36288891098207e-05;9,15918340771693e-05;0,00162588728847187;0,000462084671593301;0,00239449401151873;0,338631382443675;0,000274579533242835
"marianne";-0,338012728732348;1,47311900446221;0,962080332605408;2,976072115947;-0,0973048640402182;0,424071735351011;0,276957309599028;0,856731915694848;0,0198531582828653;0,247430089953384;0,0922951625340564;0,640421589229694;0,000275117011980588;0,00522548975399584;0,00222881493473754;0,0213274158704819;0,00240797146374116;1,11588464608799;0,00299840255913888
"part";0,0222817371279101;0,21874578604858;0,09604688718477;-1,22112746899111;0,017904496100782;0,175773237557113;0,0771785030592568;-0,981237319226903;0,000754887923988073;0,0477394190594333;0,00804903367893048;0,943456659337647;1,21334285889954e-06;0,000116940470494362;2,254509316787e-05;0,00364424399923356;0,00244391133633431;0,377232287173056;0,000347778843887451
"woman";-0,890920587544772;-1,29690859292699;-2,17055880134258;-0,0367492536044716;-0,332294579806325;-0,483719539046155;-0,809572631860196;-0,0137066961471247;0,172495347172019;0,239845450186109;0,587537075552031;0,000122127089833918;0,00187920929124308;0,0039821342464799;0,0111542473912827;3,19737965325211e-06;0,00236753910707387;0,997818040623832;0,00235721863049516
