"";"";"";"";"gone";""
"54";"never";"-0.253796331986764";"-0.0496976582771346";"0.910505598114319";"179"
"55";"became";"-0.850818915460351";"0.261017481502439";"0.910410528383422";"180"
"56";"former";"-0.404361732286468";"0.622567470152851";"0.908941268905912";"182"
"57";"better";"-0.126608877718602";"-0.345858247314005";"0.908569632685131";"183"
"58";"certainly";"-0.354783730052666";"-0.30909790848413";"0.90387664505991";"186"
"59";"much";"-0.310250217845293";"-0.0766282401576433";"0.900454134747594";"189"
"60";"seeing";"0.207645385146229";"-0.143636237350757";"0.898725594185818";"191"
"61";"even";"0.0353143129577832";"-0.133687218980146";"0.896841484973483";"192"
"62";"however";"-0.153814986550398";"0.334869751687623";"0.896158711451581";"193"
"63";"nothing";"-0.218632269948334";"-0.151404541418747";"0.895968571989786";"195"
"64";"seriously";"-0.85138528560508";"-0.498308232128788";"0.894741308190925";"197"
"65";"mean";"-0.441794121412141";"0.14504308636967";"0.893747397367904";"198"
"66";"will";"-0.0640274795848195";"-0.378751803395425";"0.89270163032803";"199"
"67";"one";"0.151686830636867";"-0.230965589131205";"0.891457081123551";"200"
"68";"several";"0.716567997900265";"0.149511034377393";"0.891353368689845";"201"
"69";"placed";"0.764915750991199";"0.207347502347224";"0.891353368689845";"202"
"70";"yes";"0.242802234151706";"-0.401016251504848";"0.889659398939305";"204"
"71";"saying";"0.304361861923892";"-0.0995904006217188";"0.887351797289334";"208"
"72";"following";"0.448980075337753";"-0.34438243344467";"0.88730858377529";"209"
"73";"too";"-0.172537153082438";"0.26084675953197";"0.884879984285995";"214"
"74";"whose";"-0.507394998683573";"0.0356144018763958";"0.884352779414653";"216"
"75";"way";"0.313727707593918";"-0.206023320734951";"0.884352779414653";"217"
"76";"different";"-0.0182927689386868";"0.160743201707927";"0.883929286977018";"218"
"77";"yet";"-0.339526557962637";"0.521795576538328";"0.8824513847967";"219"
"78";"whatever";"-0.663774466173138";"0.26310904459449";"0.881794539383225";"220"
"79";"whole";"0.323699272734096";"0.0314372391185389";"0.881301905323119";"221"
"80";"since";"0.173429150073388";"-0.337610320323571";"0.881284619917502";"222"
"81";"without";"-0.00225132539902025";"0.153820140061429";"0.880748772343351";"224"
"82";"themselves";"0.169429908532346";"-0.655208690748483";"0.877300333922609";"226"
"83";"various";"0.72099293815724";"0.171064804572256";"0.877127479866431";"228"
"84";"another";"0.257316936096701";"0.224737502562211";"0.876574346886663";"229"
"85";"cannot";"-0.467892218515557";"-0.214841141218413";"0.873385189550187";"231"
"86";"please";"-0.30098462753737";"-0.178421470194791";"0.87312590846592";"232"
"87";"still";"0.155331096585803";"0.43994129323228";"0.870524454920448";"235"
"88";"possible";"-0.330511223299419";"0.153145305466476";"0.869928108426635";"237"
"89";"thank";"-0.173744016948628";"0.16934052762253";"0.866030249459831";"239"
"90";"on";"0.0542691788185526";"0.188989065919039";"0.864863484580633";"241"
"91";"beyond";"-0.0144908668037842";"0.137967673391815";"0.864128854841878";"244"
"92";"did";"-0.135400296080585";"-0.0420225546689185";"0.863930072677274";"245"
"93";"ought";"-0.671946990926068";"0.0375042814210388";"0.862365743468867";"248"
"94";"rather";"-0.322605878533393";"-0.00314947008746752";"0.857352975839717";"251"
"95";"elsewhere";"-0.664752781972436";"0.448518188982596";"0.855659006089177";"257"
"96";"exactly";"0.0669938160136481";"0.043777460932807";"0.855166372029071";"258"
"97";"both";"-0.346184096042507";"0.216456612856725";"0.853982321744255";"261"
"98";"followed";"0.44101042476219";"0.493905847537603";"0.85386132390493";"262"
"99";"yourself";"-0.443307906025364";"0.146065031104889";"0.853809467688077";"263"
"100";"given";"-0.469323878618633";"0.166842264032408";"0.853005696326851";"265"
"101";"yours";"-0.248502171376099";"-0.0845421473706291";"0.85240070713023";"266"
"102";"these";"0.162836769351117";"0.275162320236955";"0.850775879002161";"269"
"103";"sorry";"-0.362874985066617";"-0.0655251576599726";"0.850603024945983";"270"
"104";"_of_";"-0.471367862029876";"0.702720701259804";"0.849686898448242";"272"
"105";"_julia_";"-0.471367862029876";"0.702720701259804";"0.849686898448242";"273"
"106";"s";"-0.0991166696467534";"-0.0368958104992054";"0.849038695737576";"274"
"107";"during";"-0.164105586135509";"-0.0499711494341528";"0.844432135140444";"277"
"108";"almost";"0.180621079924547";"0.297962079820135";"0.842980161068552";"278"
