persons;39
performance;39
partiality;38
obtain;39
mortification;39
middle;38
inn;39
indignation;39
idle;39
hot;39
goodness;39
forster;39
disgrace;39
certainty;39
bourgh;38
authority;39
white;38
tuesday;37
strongly;38
steele;38
saturday;37
represent;38
renew;38
preference;37
perform;38
lydia_s;38
lane;37
isabella_s;38
impatience;37
hayter;37
game;38
gallantry;38
gaiety;38
foolish;37
exert;38
distinction;38
crowd;36
congratulate;38
ceremony;38
calmness;38
bustle;36
belief;38
aloud;38
active;38
yard;37
worthy;37
wallis;37
suspense;36
surprize;35
stupid;37
spread;36
sex;37
risk;36
restraint;37
pronounce;37
presume;37
northanger;37
noble;36
lovely;37
fitzwilliam;37
fifty;37
display;37
detain;37
deeply;37
create;36
continual;37
attribute;37
undertake;36
tremble;36
sunday;35
residence;36
reconcile;36
purchase;36
peculiar;36
mama;36
lament;36
independent;36
honourable;36
envy;35
enscombe;36
discovery;36
discern;36
delicate;36
decision;36
decidedly;36
dashwoods;36
complaint;36
clothe;35
christmas;36
censure;35
application;36
abroad;36
wall;35
violent;35
possess;35
partial;35
occasionally;35
misfortune;34
margaret;35
interference;35
forty;35
fearful;35
elliot_s;35
dull;35
disturb;35
crown;34
cheek;35
bertrams;35
awkward;35
animation;35
syllable;34
supper;34
superiority;34
shrubbery;33
season;34
pace;34
obligation;34
jealousy;34
generous;34
existence;34
east;34
convenience;34
continually;34
condition;34
conceive;34
bye;33
volume;33
thankful;33
symptom;33
surround;33
silly;33
rule;33
overpower;33
openly;33
monday;33
maintain;33
joke;32
hesitate;33
extreme;33
drop;33
discussion;33
destroy;33
departure;33
conceit;33
building;33
withdraw;32
wealth;32
trick;32
surprized;30
shepherd;32
reward;31
resemblance;32
oxford;31
november;31
loud;32
lock;32
library;32
hurst;32
hitherto;32
haste;28
guest;32
grace;32
cool;32
brighton;32
born;30
betsey;31
amazement;32
amaze;32
ability;32
unlike;29
tomorrow;31
signify;31
seize;31
safety;31
profess;31
positive;31
phillips;31
nerve;31
matrimony;31
maple;30
include;31
imprudence;31
hasten;31
flow;31
establishment;31
elder;31
ear;31
displease;30
despair;30
cruel;29
corner;31
complain;31
commission;31
bend;30
aunt_s;31
ascertain;31
apparent;31
alike;31
voluntarily;30
unreasonable;30
twelvemonth;30
steeles;30
sensibility;30
secrecy;30
revive;30
representation;30
remind;30
rapture;30
peculiarly;30
liberal;30
green;30
furnish;30
fly;30
flat;30
fairly;30
enable;30
eliza;30
displeasure;30
discretion;30
delaford;29
declaration;30
console;30
chamber;30
bright;30
black;29
bid;30
